대권역,중권역,총계,한우(두)_소계,한우(두)_허가,한우(두)_신고,한우(두)_신고미만,젖소(두)_소계,젖소(두)_허가,젖소(두)_신고,젖소(두)_신고미만,돼지(두)_소계,돼지(두)_허가,돼지(두)_신고,돼지(두)_신고미만,닭(두)_소계,닭(두)_허가,닭(두)_신고,닭(두)_신고미만,말(두)_소계,말(두)_허가,말(두)_신고,말(두)_신고미만,산양_염소(두)_소계,산양_염소(두)_허가,산양_염소(두)_신고,산양_염소(두)_신고미만,면양_육양(두)_소계,면양_육양(두)_허가,면양_육양(두)_신고,면양_육양(두)_신고미만,사슴(두)_소계,사슴(두)_허가,사슴(두)_신고,사슴(두)_신고미만,개(두)_소계,개(두)_허가,개(두)_신고,개(두)_신고미만,오리(두)_소계,오리(두)_허가,오리(두)_신고,오리(두)_신고미만,타조(두)_소계,타조(두)_허가,타조(두)_신고,타조(두)_신고미만,가금기타(두)_소계,가금기타(두)_허가,가금기타(두)_신고,가금기타(두)_신고미만
영산강,섬진강하류,903171,21137,3452,7404,10281,967,486,345,136,48141,31704,12876,3561,391533,0,204485,187048,9,0,0,9,1996,0,30,1966,0,0,0,0,250,0,0,250,3872,0,558,3314,435266,0,355025,80241,0,0,0,0,0,0,0,0
영산강,섬진강서남해,1685585,73010,25082,40181,7747,1724,716,980,28,44619,28797,15688,134,702986,0,508316,194670,351,148,199,4,3370,0,335,3035,0,0,0,0,66,0,0,66,5166,0,2816,2350,854230,101643,649927,102660,0,0,0,0,63,0,0,63
영산강,완도,17192,10051,756,8784,511,0,0,0,0,7098,0,7040,58,0,0,0,0,12,0,12,0,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영산강,금산면,4188,1617,220,589,808,0,0,0,0,2571,1536,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영산강,이사천,1267959,24940,8570,13015,3355,5937,2546,3355,36,52536,33444,18992,100,927648,0,910146,17502,25,0,24,1,2167,0,2002,165,0,0,0,0,52,0,0,52,791,0,637,154,253844,0,253809,35,0,0,0,0,19,0,0,19
영산강,수어천,42676,3688,644,1951,1093,34,0,34,0,8336,4049,4235,52,17663,0,1623,16040,5,0,5,0,707,0,486,221,0,0,0,0,0,0,0,0,1628,0,475,1153,518,0,0,518,0,0,0,0,10097,0,0,10097
영산강,영산강상류,807737,26874,13993,7537,5344,1162,707,94,361,19695,16855,2513,327,617012,9720,227298,379994,155,31,124,0,1002,0,0,1002,0,0,0,0,442,0,131,311,9797,0,3000,6797,117298,4231,97325,15742,0,0,0,0,14300,0,0,14300
영산강,황룡강,481768,11882,2607,3731,5544,558,435,71,52,29975,28773,1045,157,405456,0,287892,117564,10,0,8,2,833,0,0,833,0,0,0,0,270,0,0,270,6230,0,1854,4376,26554,0,5021,21533,0,0,0,0,0,0,0,0
영산강,지석천,1426784,12350,5246,3729,3375,2164,600,0,1564,54414,47558,5702,1154,1121036,578000,342700,200336,93,36,50,7,6545,0,1840,4705,0,0,0,0,203,0,0,203,6769,0,582,6187,193137,138200,47000,7937,0,0,0,0,30073,0,0,30073
영산강,영산강중류,3517534,28808,13905,12761,2142,5915,4254,1637,24,89520,83993,5433,94,2975176,2910100,61300,3776,48,0,38,10,4338,0,2870,1468,0,0,0,0,760,0,600,160,4369,0,3303,1066,358600,288400,70200,0,0,0,0,0,50000,0,0,50000
영산강,고막원천,1555881,15900,4578,4787,6535,2838,1097,1401,340,22596,20099,1825,672,1349423,157000,969933,222490,2,0,0,2,1104,0,200,904,30,0,0,30,56,0,0,56,1291,0,0,1291,142641,0,97316,45325,0,0,0,0,20000,0,0,20000
영산강,영산강하류,5419097,39642,9246,21300,9096,3061,1880,892,289,76694,69765,6631,298,4388027,2918620,1063059,406348,32,0,0,32,686,0,30,656,0,0,0,0,85,0,0,85,5810,0,3510,2300,905060,235000,515500,154560,0,0,0,0,0,0,0,0
영산강,영암천,1191366,26759,9472,7298,9989,2219,1108,758,353,40231,34973,5197,61,771450,0,323950,447500,9,0,0,9,568,0,0,568,0,0,0,0,100,0,0,100,2430,0,1400,1030,347600,0,162300,185300,0,0,0,0,0,0,0,0
영산강,영산강하구언,611556,7059,820,4851,1388,602,475,84,43,26762,18098,8647,17,495600,0,378700,116900,0,0,0,0,64,0,0,64,0,0,0,0,3,0,0,3,4466,0,4110,356,77000,0,77000,0,0,0,0,0,0,0,0,0
영산강,탐진강,406527,21125,11710,6833,2582,231,0,140,91,4866,4504,328,34,146266,687,100560,45019,25,5,16,4,5201,100,3867,1234,0,0,0,0,88,11,0,77,3666,0,1546,2120,225001,5499,219454,48,29,0,0,29,29,0,0,29
영산강,진도,264878,3856,600,1751,1505,0,0,0,0,2318,350,1327,641,20000,0,18000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893,0,888,5,237811,0,237748,63,0,0,0,0,0,0,0,0
영산강,영암방조제,1437125,43718,21625,21406,687,1410,571,839,0,95946,84904,11042,0,834502,206890,627302,310,35,0,15,20,2498,0,2498,0,0,0,0,0,8,0,0,8,6757,0,6734,23,452251,0,452251,0,0,0,0,0,0,0,0,0
영산강,와탄천,8555292,62215,20870,25613,15732,10471,7314,2047,1110,333715,290301,39235,4179,7433891,0,5609783,1824108,82,0,82,0,2757,0,473,2284,0,0,0,0,1064,0,0,1064,16480,0,14540,1940,694617,0,663133,31484,0,0,0,0,0,0,0,0
영산강,신안군,31137,6013,2563,3450,0,0,0,0,0,15682,9826,5856,0,7000,0,7000,0,66,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,0,1138,0,1238,0,1238,0,0,0,0,0,0,0,0,0
영산강,제주서해,877753,11923,7602,4321,0,2371,1759,612,0,336429,297928,38501,0,498344,0,498344,0,2064,1125,911,28,0,0,0,0,0,0,0,0,100,0,100,0,6292,0,6292,0,20230,0,20230,0,0,0,0,0,0,0,0,0
영산강,제주북해,181226,2960,1839,1121,0,498,440,58,0,38994,36898,2096,0,132044,0,132044,0,1790,1124,584,82,0,0,0,0,0,0,0,0,0,0,0,0,4940,0,4940,0,0,0,0,0,0,0,0,0,0,0,0,0
영산강,제주남해,28382,1727,1382,345,0,55,55,0,0,20276,18860,1416,0,4830,0,4830,0,173,93,44,36,0,0,0,0,0,0,0,0,0,0,0,0,1321,0,1321,0,0,0,0,0,0,0,0,0,0,0,0,0
영산강,제주동해,713989,14671,10420,4251,0,2723,2535,188,0,106045,93668,12377,0,558666,0,558666,0,6722,4975,1639,108,0,0,0,0,0,0,0,0,0,0,0,0,12162,0,12162,0,13000,0,13000,0,0,0,0,0,0,0,0,0
