시도,시군구,총계,한우(두)_소계,한우(두)_허가,한우(두)_신고,한우(두)_신고미만,젖소(두)_소계,젖소(두)_허가,젖소(두)_신고,젖소(두)_신고미만,돼지(두)_소계,돼지(두)_허가,돼지(두)_신고,돼지(두)_신고미만,닭(두)_소계,닭(두)_허가,닭(두)_신고,닭(두)_신고미만,말(두)_소계,말(두)_허가,말(두)_신고,말(두)_신고미만,산양_염소(두)_소계,산양_염소(두)_허가,산양_염소(두)_신고,산양_염소(두)_신고미만,면양_육양(두)_소계,면양_육양(두)_허가,면양_육양(두)_신고,면양_육양(두)_신고미만,사슴(두)_소계,사슴(두)_허가,사슴(두)_신고,사슴(두)_신고미만,개(두)_소계,개(두)_허가,개(두)_신고,개(두)_신고미만,오리(두)_소계,오리(두)_허가,오리(두)_신고,오리(두)_신고미만,타조(두)_소계,타조(두)_허가,타조(두)_신고,타조(두)_신고미만,가금기타(두)_소계,가금기타(두)_허가,가금기타(두)_신고,가금기타(두)_신고미만
경기도,수원시장안구,2716,206,70,10,126,172,0,140,32,16,0,0,16,260,0,0,260,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,32,0,0,0,0,2000,0,0,2000
경기도,시흥시,15330,1440,0,1330,110,269,175,94,0,2091,0,2091,0,11330,0,11050,280,90,0,80,10,0,0,0,0,0,0,0,0,110,0,30,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,안산시단원구,3697,107,0,107,0,0,0,0,0,500,0,500,0,0,0,0,0,90,82,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,3000,0,0,0,0,0,0,0,0,0
경기도,안산시상록구,9913,1827,50,1777,0,637,0,637,0,740,0,740,0,6000,0,6000,0,459,0,459,0,0,0,0,0,0,0,0,0,50,0,50,0,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,안성시,3765305,149707,100687,49020,0,9511,8378,1133,0,299776,251612,48164,0,2345029,40440,2304589,0,357,203,154,0,0,0,0,0,0,0,0,0,133,0,133,0,21389,0,21389,0,939403,0,939403,0,0,0,0,0,0,0,0,0
경기도,안양시동안구,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,안양시만안구,277,47,0,47,0,0,0,0,0,230,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,양주시,2141369,9262,1440,1549,6273,9138,2335,2425,4378,93515,41250,26470,25795,2029454,0,441344,1588110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,양평군,1632481,19249,2549,11327,5373,5076,1667,2892,517,22128,13810,8301,17,1039388,0,816190,223198,55,0,39,16,30,0,30,0,971,0,0,971,843,0,497,346,5341,0,4925,416,12000,0,12000,0,0,0,0,0,527400,0,8500,518900
경기도,여주시,2944417,13894,3555,8874,1465,9823,3252,5869,702,123138,100177,22961,0,2720370,146800,2418570,155000,18,0,14,4,912,0,0,912,0,0,0,0,103,0,29,74,19545,3,17571,1971,56350,0,51350,5000,0,0,0,0,264,0,0,264
경기도,연천군,3085703,8137,4629,3115,393,7208,3661,3547,0,111154,70975,40168,11,2856718,945000,1900455,11263,65,35,30,0,156,0,0,156,0,0,0,0,0,0,0,0,12710,0,12710,0,89555,0,89255,300,0,0,0,0,0,0,0,0
경기도,오산시,51622,294,0,274,20,135,0,135,0,0,0,0,0,51000,0,51000,0,22,22,0,0,112,0,0,112,0,0,0,0,59,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,용인시기흥구,1544,5,0,0,5,70,70,0,0,250,0,0,250,612,0,0,612,50,0,50,0,3,0,0,3,0,0,0,0,14,0,0,14,330,0,0,330,2,0,0,2,0,0,0,0,208,0,0,208
경기도,용인시수지구,6884,70,2,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6814,0,0,6814,0,0,0,0,0,0,0,0,0,0,0,0
경기도,용인시처인구,4177527,11334,6432,4897,5,2963,2309,636,18,254223,146629,57594,50000,3605436,274069,3331367,0,210,74,118,18,333,0,0,333,0,0,0,0,394,0,37,357,20543,0,20509,34,59082,0,59010,72,0,0,0,0,223009,0,0,223009
경기도,의왕시,5305,203,0,183,20,2,0,0,2,70,0,70,0,4693,0,2800,1893,40,0,12,28,9,0,0,9,0,0,0,0,133,0,0,133,0,0,0,0,55,0,0,55,1,0,0,1,99,0,0,99
경기도,의정부시,21976,353,0,186,167,8,0,0,8,15,0,0,15,21400,0,21000,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,이천시,3972081,22734,13955,4880,3899,25000,18378,5894,728,384331,347476,17997,18858,3122055,0,2727345,394710,566,237,134,195,1367,0,0,1367,0,0,0,0,697,8,0,689,33952,0,23250,10702,66352,0,50200,16152,1,0,0,1,315026,0,150000,165026
경기도,파주시,2247484,11033,2703,5229,3101,16529,6324,7162,3043,98494,63441,29813,5240,1942250,0,1070100,872150,40,0,25,15,467,0,105,362,0,0,0,0,301,0,1,300,5570,0,4410,1160,2700,0,0,2700,100,0,0,100,170000,0,0,170000
경기도,평택시,3673325,18990,9888,9102,0,20742,11623,9119,0,111963,83680,28283,0,3411788,120000,3291788,0,220,0,220,0,156,0,156,0,0,0,0,0,0,0,0,0,5056,0,5056,0,104410,0,104410,0,0,0,0,0,0,0,0,0
경기도,포천시,7216747,13231,2879,8960,1392,15773,7471,8232,70,218062,155192,62870,0,6674850,3255870,3392731,26249,61,0,41,20,533,0,200,333,0,0,0,0,408,0,136,272,21271,0,10821,10450,22558,8000,14528,30,0,0,0,0,250000,0,250000,0
경기도,하남시,313,141,2,0,139,94,0,0,94,0,0,0,0,0,0,0,0,72,0,0,72,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,화성시,6932253,35552,8714,15305,11533,32025,7065,10666,14294,181826,106867,57281,17678,6621861,444056,3199558,2978247,776,478,298,0,0,0,0,0,0,0,0,0,0,0,0,0,19282,0,19282,0,40931,0,40931,0,0,0,0,0,0,0,0,0
강원도,강릉시,291366,7677,1100,5761,816,926,0,778,148,72734,68934,3800,0,207000,0,207000,0,50,50,0,0,88,0,0,88,0,0,0,0,65,0,65,0,2826,0,2826,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,고성군,112490,5777,937,4840,0,0,0,0,0,6016,3950,2066,0,100300,0,100300,0,17,0,9,8,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,350,0,350,0,0,0,0,0,0,0,0,0
강원도,동해시,7271,899,0,536,363,0,0,0,0,70,0,0,70,5227,0,1500,3727,0,0,0,0,193,0,0,193,0,0,0,0,62,0,40,22,820,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,삼척시,684238,10805,2646,6724,1435,0,0,0,0,2402,1250,995,157,667922,462000,200020,5902,32,0,21,11,836,0,0,836,0,0,0,0,425,0,0,425,1667,0,750,917,113,0,0,113,0,0,0,0,36,0,0,36
강원도,속초시,346,169,0,126,43,0,0,0,0,0,0,0,0,70,0,0,70,0,0,0,0,107,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,양구군,364340,8045,1693,5853,499,0,0,0,0,10823,10656,167,0,315856,0,315341,515,0,0,0,0,150,0,150,0,0,0,0,0,0,0,0,0,1466,0,1466,0,28000,0,28000,0,0,0,0,0,0,0,0,0
강원도,양양군,41167,4810,1423,1760,1627,0,0,0,0,20893,20093,800,0,15122,14500,300,322,0,0,0,0,107,0,0,107,0,0,0,0,126,0,90,36,79,0,0,79,30,0,0,30,0,0,0,0,0,0,0,0
강원도,영월군,249795,10879,2645,4751,3483,0,0,0,0,5190,4650,240,300,227677,0,219000,8677,38,0,0,38,1572,0,60,1512,0,0,0,0,163,0,64,99,4160,0,0,4160,76,0,0,76,0,0,0,0,40,0,0,40
강원도,원주시,1446758,14230,3902,6858,3470,3467,1564,1786,117,78860,66791,10275,1794,1279245,80000,1124596,74649,52,24,28,0,1213,0,50,1163,0,0,0,0,65,0,0,65,7176,0,7176,0,350,0,0,350,0,0,0,0,62100,0,0,62100
강원도,인제군,430222,12253,4393,2711,5149,61,0,32,29,8570,3191,324,5055,404005,0,154509,249496,46,0,46,0,1945,0,250,1695,0,0,0,0,72,0,0,72,3170,0,3170,0,0,0,0,0,0,0,0,0,100,0,0,100
강원도,정선군,15074,8651,3528,3088,2035,6,6,0,0,62,0,30,32,3970,0,20,3950,0,0,0,0,992,0,450,542,0,0,0,0,52,0,29,23,1228,0,0,1228,54,0,0,54,0,0,0,0,59,0,0,59
강원도,철원군,3024098,15390,6294,3945,5151,13183,5835,3367,3981,200600,146331,12009,42260,2744370,0,1736470,1007900,8,0,0,8,765,0,0,765,20,0,0,20,308,0,0,308,11518,0,6850,4668,37931,0,0,37931,0,0,0,0,5,0,0,5
